simple_service_name,size,ratio
Elastic Compute Cloud,63,0.16890080428954424
CloudFront,17,0.045576407506702415
Relational Database Service,17,0.045576407506702415
CloudWatch,15,0.040214477211796246
Elastic Load Balancing,14,0.03753351206434316
Route 53,12,0.032171581769437
Identity and Access Management,12,0.032171581769437
Elastic MapReduce,11,0.029490616621983913
Lambda,11,0.029490616621983913
WorkSpaces,10,0.02680965147453083
Auto Scaling,10,0.02680965147453083
Storage Gateway,9,0.024128686327077747
Internet Connectivity,8,0.021447721179624665
Connect,8,0.021447721179624665
IoT Core,7,0.01876675603217158
CloudFormation,7,0.01876675603217158
Management Console,7,0.01876675603217158
Kinesis Data Streams,7,0.01876675603217158
Certificate Manager,6,0.0160857908847185
Simple Storage Service,6,0.0160857908847185
Chime,5,0.013404825737265416
Batch,5,0.013404825737265416
Simple Queue Service,5,0.013404825737265416
Redshift,4,0.010723860589812333
Elastic Container Service,4,0.010723860589812333
API Gateway,4,0.010723860589812333
Elastic File System,4,0.010723860589812333
Cognito,4,0.010723860589812333
DynamoDB,4,0.010723860589812333
Elastic Beanstalk,4,0.010723860589812333
Elastic Container Registry,3,0.00804289544235925
Simple Notification Service,3,0.00804289544235925
Marketplace,3,0.00804289544235925
Billing Console,3,0.00804289544235925
Kinesis Firehose,3,0.00804289544235925
CodeBuild,3,0.00804289544235925
AppStream 2.0,3,0.00804289544235925
Route 53 Resolver,3,0.00804289544235925
Elasticsearch Service,3,0.00804289544235925
EventBridge,2,0.005361930294906166
Athena,2,0.005361930294906166
Backup,2,0.005361930294906166
CodeDeploy,2,0.005361930294906166
WorkMail,2,0.005361930294906166
Simple Workflow Service,2,0.005361930294906166
Virtual Private Cloud,2,0.005361930294906166
Direct Connect,2,0.005361930294906166
Single Sign-On,2,0.005361930294906166
WAF,1,0.002680965147453083
Systems Manager,1,0.002680965147453083
Transfer for SFTP,1,0.002680965147453083
Transcribe,1,0.002680965147453083
Simple Email Service,1,0.002680965147453083
Secrets Manager,1,0.002680965147453083
SageMaker,1,0.002680965147453083
VPCE PrivateLink,1,0.002680965147453083
IoT Analytics,1,0.002680965147453083
Resource Access Manager,1,0.002680965147453083
Glacier,1,0.002680965147453083
AppSync,1,0.002680965147453083
Cloud9,1,0.002680965147453083
CloudHSM,1,0.002680965147453083
CodeCommit,1,0.002680965147453083
DeepRacer,1,0.002680965147453083
ElastiCache,1,0.002680965147453083
Elastic Kubernetes Service,1,0.002680965147453083
Glue,1,0.002680965147453083
QuickSight,1,0.002680965147453083
IoT SiteWise,1,0.002680965147453083
Key Management Service,1,0.002680965147453083
Kinesis Analytics,1,0.002680965147453083
MQ,1,0.002680965147453083
NAT Gateway,1,0.002680965147453083
Organizations,1,0.002680965147453083
Personalize,1,0.002680965147453083
X-Ray,1,0.002680965147453083
