,service_name,summary,date,status,details,description,service,datetime,simple_service_name,region_name,start_time,end_time,pattern_for_debug,timezone,failure_time,year,month,day,iso_date,problem,report
0,Auto Scaling (N. Virginia),[RESOLVED] Increased API Error Rates,1525914401,1,,"<div><span class=""yellowfg""> 6:06 PM PDT</span>&nbsp;We are investigating increased API error rates in the US-EAST-1 Region.</div><div><span class=""yellowfg""> 6:26 PM PDT</span>&nbsp;We are continuing to investigate increased API error rates in the US-EAST-1 Region</div><div><span class=""yellowfg""> 7:24 PM PDT</span>&nbsp;We have identified the root cause of the elevated API error rates and can confirm that most customers have recovered. We are continuing to work towards full resolution.</div><div><span class=""yellowfg""> 7:40 PM PDT</span>&nbsp;Between 5:42 PM and 7:04 PM PDT, we experienced increased API error rates in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.</div>",autoscaling-us-east-1,2018-05-10 01:06:41,Auto Scaling,N. Virginia,5:42 PM,7:04 PM,2,PDT,82.0,2018,5,10,2018-05-10,increased api error rates," 6:06 PM PDT -  We are investigating increased API error rates in the US-EAST-1 Region.
 6:26 PM PDT -  We are continuing to investigate increased API error rates in the US-EAST-1 Region
 7:24 PM PDT -  We have identified the root cause of the elevated API error rates and can confirm that most customers have recovered. We are continuing to work towards full resolution.
 7:40 PM PDT -  Between 5:42 PM and 7:04 PM PDT, we experienced increased API error rates in the US-EAST-1 Region. The issue has been resolved and the service is operating normally."
1,Amazon Elastic Compute Cloud (N. Virginia),[RESOLVED] Delayed network provisioning,1526397141,1,,"<div><span class=""yellowfg""> 8:12 AM PDT</span>&nbsp;We are investigating delayed network provisioning for newly launched instances in a single Availability Zone in the US-EAST-1 Region.</div><div><span class=""yellowfg""> 8:45 AM PDT</span>&nbsp;Between 5:27 AM and 8:17 AM PDT we experienced delayed network provisioning for newly launched instances in a single Availability Zone in the US-EAST-1 Region. The issue have been resolved and the service is operating normally. </div>",ec2-us-east-1,2018-05-15 15:12:21,Elastic Compute Cloud,N. Virginia,5:27 AM,8:17 AM,2,PDT,170.0,2018,5,15,2018-05-15,delayed network provisioning," 8:12 AM PDT -  We are investigating delayed network provisioning for newly launched instances in a single Availability Zone in the US-EAST-1 Region.
 8:45 AM PDT -  Between 5:27 AM and 8:17 AM PDT we experienced delayed network provisioning for newly launched instances in a single Availability Zone in the US-EAST-1 Region. The issue have been resolved and the service is operating normally. "
2,Amazon Elastic Load Balancing (N. Virginia),[RESOLVED] Increased provisioning times,1526397279,1,,"<div><span class=""yellowfg""> 8:14 AM PDT</span>&nbsp;We are investigating increased provisioning times for load balancers in the US-EAST-1 Region. Registration of back-end instances and connectivity to existing instances are not affected. </div><div><span class=""yellowfg""> 8:53 AM PDT</span>&nbsp;Between 6:05 AM and 8:17 AM PDT we experienced delayed network provisioning for newly launched instances in a single Availability Zone in the US-EAST-1 Region. Registration of back-end instances and connectivity to existing instances are not affected. The issue have been resolved and the service is operating normally. </div>",elb-us-east-1,2018-05-15 15:14:39,Elastic Load Balancing,N. Virginia,6:05 AM,8:17 AM,2,PDT,132.0,2018,5,15,2018-05-15,increased provisioning times," 8:14 AM PDT -  We are investigating increased provisioning times for load balancers in the US-EAST-1 Region. Registration of back-end instances and connectivity to existing instances are not affected. 
 8:53 AM PDT -  Between 6:05 AM and 8:17 AM PDT we experienced delayed network provisioning for newly launched instances in a single Availability Zone in the US-EAST-1 Region. Registration of back-end instances and connectivity to existing instances are not affected. The issue have been resolved and the service is operating normally. "
3,Amazon Elastic MapReduce (N. Virginia),[RESOLVED] Delays in starting clusters,1526397532,1,,"<div><span class=""yellowfg""> 8:19 AM PDT</span>&nbsp;We are investigating delays in starting Amazon EMR clusters in the US-EAST-1 Region. Existing clusters are not impacted.</div><div><span class=""yellowfg""> 8:40 AM PDT</span>&nbsp;Between 7:00 AM and 8:15 AM PDT we experienced delays in starting Amazon EMR clusters in the US-EAST-1 Region. Existing clusters were not impacted. The issue has been resolved and the service is operating normally.</div>",emr-us-east-1,2018-05-15 15:18:52,Elastic MapReduce,N. Virginia,7:00 AM,8:15 AM,2,PDT,75.0,2018,5,15,2018-05-15,delays in starting clusters," 8:19 AM PDT -  We are investigating delays in starting Amazon EMR clusters in the US-EAST-1 Region. Existing clusters are not impacted.
 8:40 AM PDT -  Between 7:00 AM and 8:15 AM PDT we experienced delays in starting Amazon EMR clusters in the US-EAST-1 Region. Existing clusters were not impacted. The issue has been resolved and the service is operating normally."
4,Amazon Simple Storage Service (N. Virginia),[RESOLVED] Elevated error rates,1526466746,1,,"<div><span class=""yellowfg""> 3:32 AM PDT</span>&nbsp;Between 2:35 AM and 2:39 AM PDT, we experienced elevated error rates for requests in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.</div>",s3-us-standard,2018-05-16 10:32:26,Simple Storage Service,N. Virginia,2:35 AM,2:39 AM,2,PDT,4.0,2018,5,16,2018-05-16,elevated error rates," 3:32 AM PDT -  Between 2:35 AM and 2:39 AM PDT, we experienced elevated error rates for requests in the US-EAST-1 Region. The issue has been resolved and the service is operating normally."
5,AWS CodeBuild (N. Virginia),[RESOLVED] Increased build error rates,1526469181,1,,"<div><span class=""yellowfg""> 4:13 AM PDT</span>&nbsp;We are investigating increased Build error rates in US-EAST-1 Region. </div><div><span class=""yellowfg""> 5:12 AM PDT</span>&nbsp;Between 2:50 AM and 4:55 AM PDT, we experienced elevated Build error rates in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.</div>",codebuild-us-east-1,2018-05-16 11:13:01,CodeBuild,N. Virginia,2:50 AM,4:55 AM,2,PDT,125.0,2018,5,16,2018-05-16,increased build error rates," 4:13 AM PDT -  We are investigating increased Build error rates in US-EAST-1 Region. 
 5:12 AM PDT -  Between 2:50 AM and 4:55 AM PDT, we experienced elevated Build error rates in the US-EAST-1 Region. The issue has been resolved and the service is operating normally."
6,Amazon AppStream 2.0 (N. Virginia),[RESOLVED] Increased error rates,1526472913,1,,"<div><span class=""yellowfg""> 5:15 AM PDT</span>&nbsp;We are currently investigating increased error rates in provisioning streaming instances in the US-EAST-1 Region.</div><div><span class=""yellowfg""> 5:22 AM PDT</span>&nbsp;Between 2:50 AM and 5:06 AM PDT, we experienced increased error rates in provisioning streaming instances. The issue has been resolved now and the service is operating normally.</div>",appstream2-us-east-1,2018-05-16 12:15:13,AppStream 2.0,N. Virginia,2:50 AM,5:06 AM,2,PDT,136.0,2018,5,16,2018-05-16,increased error rates," 5:15 AM PDT -  We are currently investigating increased error rates in provisioning streaming instances in the US-EAST-1 Region.
 5:22 AM PDT -  Between 2:50 AM and 5:06 AM PDT, we experienced increased error rates in provisioning streaming instances. The issue has been resolved now and the service is operating normally."
7,AWS Systems Manager (N. Virginia),[RESOLVED] Increased error rates,1526473109,1,,"<div><span class=""yellowfg""> 5:18 AM PDT</span>&nbsp;Between 2:50 AM and 4:55 AM PDT we experienced increased API error rates in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.</div>",ec2systemsmanager-us-east-1,2018-05-16 12:18:29,Systems Manager,N. Virginia,2:50 AM,4:55 AM,2,PDT,125.0,2018,5,16,2018-05-16,increased error rates, 5:18 AM PDT -  Between 2:50 AM and 4:55 AM PDT we experienced increased API error rates in the US-EAST-1 Region. The issue has been resolved and the service is operating normally.
8,Amazon Elastic Compute Cloud (Sao Paulo),[RESOLVED] Network Connectivity,1526569732,1,,"<div><span class=""yellowfg""> 8:09 AM PDT</span>&nbsp;We are investigating connectivity issues for some instances in the SA-EAST-1 Region.</div><div><span class=""yellowfg""> 8:32 AM PDT</span>&nbsp; Between 7:26 AM and 7:34 AM PDT, and between 7:57 AM to 8:05 AM PDT, some instances experienced connectivity issues in the SA-EAST-1 Region. The issue has been resolved and the service is operating normally.</div>",ec2-sa-east-1,2018-05-17 15:08:52,Elastic Compute Cloud,Sao Paulo,7:26 AM,7:34 AM,2,PDT,8.0,2018,5,17,2018-05-17,network connectivity," 8:09 AM PDT -  We are investigating connectivity issues for some instances in the SA-EAST-1 Region.
 8:32 AM PDT -   Between 7:26 AM and 7:34 AM PDT, and between 7:57 AM to 8:05 AM PDT, some instances experienced connectivity issues in the SA-EAST-1 Region. The issue has been resolved and the service is operating normally."
9,Amazon WorkMail (N. Virginia),[RESOLVED] Increased Outlook Sync Latencies and Errors,1527016380,1,,"<div><span class=""yellowfg"">12:13 PM PDT</span>&nbsp;We are investigating increased WorkMail Outlook synchronization latencies and error rates in the US-EAST-1 Region impacting the sending and receiving of new messages or appointments in Outlook clients.</div><div><span class=""yellowfg"">12:30 PM PDT</span>&nbsp;Between 11:06 AM and 12:09 PM PDT we experienced increased WorkMail Outlook synchronization latencies and error rates in the US-EAST-1 Region, impacting the sending and receiving of new messages or appointments in Outlook clients. The issue has been resolved and the service is operating normally.</div>",workmail-us-east-1,2018-05-22 19:13:00,WorkMail,N. Virginia,11:06 AM,12:09 PM,2,PDT,63.0,2018,5,22,2018-05-22,increased outlook sync latencies and errors,"12:13 PM PDT -  We are investigating increased WorkMail Outlook synchronization latencies and error rates in the US-EAST-1 Region impacting the sending and receiving of new messages or appointments in Outlook clients.
12:30 PM PDT -  Between 11:06 AM and 12:09 PM PDT we experienced increased WorkMail Outlook synchronization latencies and error rates in the US-EAST-1 Region, impacting the sending and receiving of new messages or appointments in Outlook clients. The issue has been resolved and the service is operating normally."
10,Amazon Cognito (N. Virginia),[RESOLVED] Elevated Sign In Error Rates,1527647488,1,,"<div><span class=""yellowfg""> 7:31 PM PDT</span>&nbsp;We are investigating reports that some users are unable to sign in or sign up to applications using Facebook identities with Amazon Cognito User Pools.</div><div><span class=""yellowfg""> 8:17 PM PDT</span>&nbsp;Recently, some users were unable to sign in or sign up to applications using Facebook identities with Amazon Cognito User Pools. The issue has been resolved and the service is operating normally.</div>",cognito-us-east-1,2018-05-30 02:31:28,Cognito,N. Virginia,7:31 PM,8:17 PM,5,PDT,46.0,2018,5,30,2018-05-30,elevated sign in error rates," 7:31 PM PDT -  We are investigating reports that some users are unable to sign in or sign up to applications using Facebook identities with Amazon Cognito User Pools.
 8:17 PM PDT -  Recently, some users were unable to sign in or sign up to applications using Facebook identities with Amazon Cognito User Pools. The issue has been resolved and the service is operating normally."
11,Amazon Elastic Compute Cloud (Ohio),[RESOLVED] Internet Connectivity,1527752189,1,,"<div><span class=""yellowfg"">12:36 AM PDT</span>&nbsp;We are currently investigating connectivity issues in the US-EAST-2 Region.</div><div><span class=""yellowfg""> 1:01 AM PDT</span>&nbsp;Between 12:11 AM and 12:45 AM PDT we experienced impaired Internet connectivity in the US-EAST-2 Region. The issue has been resolved and the service is operating normally.</div>",ec2-us-east-2,2018-05-31 07:36:29,Elastic Compute Cloud,Ohio,12:11 AM,12:45 AM,2,PDT,34.0,2018,5,31,2018-05-31,internet connectivity,"12:36 AM PDT -  We are currently investigating connectivity issues in the US-EAST-2 Region.
 1:01 AM PDT -  Between 12:11 AM and 12:45 AM PDT we experienced impaired Internet connectivity in the US-EAST-2 Region. The issue has been resolved and the service is operating normally."
12,AWS Internet Connectivity (Ohio),[RESOLVED] Internet Connectivity,1527752941,1,,"<div><span class=""yellowfg"">12:49 AM PDT</span>&nbsp;
We are currently investigating connectivity issues in the US-EAST-2 Region. </div><div><span class=""yellowfg"">12:59 AM PDT</span>&nbsp;Between 12:11 AM and 12:45 AM PDT we experienced impaired Internet connectivity in the US-EAST-2 Region. The issue has been resolved and the service is operating normally.</div>",internetconnectivity-us-east-2,2018-05-31 07:49:01,Internet Connectivity,Ohio,12:11 AM,12:45 AM,2,PDT,34.0,2018,5,31,2018-05-31,internet connectivity,"12:49 AM PDT -  We are currently investigating connectivity issues in the US-EAST-2 Region. 
12:59 AM PDT -  Between 12:11 AM and 12:45 AM PDT we experienced impaired Internet connectivity in the US-EAST-2 Region. The issue has been resolved and the service is operating normally."
13,Amazon Elastic File System (Oregon),[RESOLVED] Increased Error Rates,1527800578,1,,"<div><span class=""yellowfg""> 2:03 PM PDT</span>&nbsp;We are investigating increased error rates for file system requests in the US-WEST-2 Region.</div><div><span class=""yellowfg""> 2:58 PM PDT</span>&nbsp;Between 1:00 PM and 2:29 PM PDT, we experienced increased error rates for file system read/write requests in the US-WEST-2 Region. The issue has been resolved and the service is operating normally.</div>",elasticfilesystem-us-west-2,2018-05-31 21:02:58,Elastic File System,Oregon,1:00 PM,2:29 PM,2,PDT,89.0,2018,5,31,2018-05-31,increased error rates," 2:03 PM PDT -  We are investigating increased error rates for file system requests in the US-WEST-2 Region.
 2:58 PM PDT -  Between 1:00 PM and 2:29 PM PDT, we experienced increased error rates for file system read/write requests in the US-WEST-2 Region. The issue has been resolved and the service is operating normally."
